Zip Code,Priority,Type,Latitude,Longitude
94103,2,Non Life-threatening,37.77409486,-122.4200014
94122,2,Potentially Life-Threatening,37.75521795,-122.4755404
94109,3,Alarm,37.7903193,-122.4231629
94107,3,Alarm,37.77732776,-122.3930886
94110,3,Alarm,37.75689017,-122.4222293
94102,3,Alarm,37.783359,-122.4166949
94103,3,Potentially Life-Threatening,37.76924401,-122.4080072
94133,3,Alarm,37.80711992,-122.4164279
94102,2,Non Life-threatening,37.77883232,-122.4156425
94114,3,Potentially Life-Threatening,37.7560964,-122.4277834
94103,3,Potentially Life-Threatening,37.78079208,-122.4083857
94110,3,Potentially Life-Threatening,37.75223946,-122.4184453
94109,3,Alarm,37.78521736,-122.4170696
94103,3,Potentially Life-Threatening,37.77952317,-122.4126393
94117,2,Non Life-threatening,37.77005466,-122.4461284
94102,3,Alarm,37.783359,-122.4166949
94103,3,Potentially Life-Threatening,37.77779031,-122.4128343
94107,2,Potentially Life-Threatening,37.78066916,-122.401678
94117,2,Potentially Life-Threatening,37.77409268,-122.4410844
94133,3,Non Life-threatening,37.8028277,-122.4130343
94102,2,Non Life-threatening,37.78626844,-122.4129972
94117,3,Potentially Life-Threatening,37.77027309,-122.448605
94102,2,Non Life-threatening,37.78191397,-122.4130322
94110,2,Non Life-threatening,37.75962769,-122.415923
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94102,3,Potentially Life-Threatening,37.77938258,-122.4184844
94109,3,Potentially Life-Threatening,37.79154569,-122.4200366
94117,3,Fire,37.77025923,-122.4318323
94103,3,Potentially Life-Threatening,37.77319006,-122.418237
94112,3,Potentially Life-Threatening,37.72094713,-122.4531654
94109,2,Non Life-threatening,37.78894504,-122.4262523
94110,2,Non Life-threatening,37.74226138,-122.4219647
94103,3,Potentially Life-Threatening,37.78574399,-122.405831
94109,3,Potentially Life-Threatening,37.78326039,-122.4183662
94114,2,Non Life-threatening,37.76759524,-122.4311911
94122,3,Potentially Life-Threatening,37.75414577,-122.4786157
94102,3,Alarm,37.77684957,-122.4213512
94107,3,Alarm,37.78299265,-122.3905285
94110,3,Potentially Life-Threatening,37.76272932,-122.4229584
94102,2,Non Life-threatening,37.78176091,-122.4151051
94114,3,Potentially Life-Threatening,37.76495166,-122.4319376
94109,3,Potentially Life-Threatening,37.7854812,-122.4212035
94109,2,Non Life-threatening,37.78356778,-122.4192734
94109,3,Alarm,37.79860278,-122.4231486
94114,2,Potentially Life-Threatening,37.76495166,-122.4319376
94110,2,Potentially Life-Threatening,37.75730761,-122.4066198
94110,3,Alarm,37.75436288,-122.4232161
94105,2,Non Life-threatening,37.79196281,-122.393243
94109,2,Potentially Life-Threatening,37.79057826,-122.4206874
94107,3,Potentially Life-Threatening,37.77762424,-122.3999811
94109,3,Alarm,37.79860278,-122.4231486
94114,3,Potentially Life-Threatening,37.75210237,-122.440665
94102,3,Potentially Life-Threatening,37.78284503,-122.4132218
94102,2,Non Life-threatening,37.78491618,-122.41195
94102,3,Potentially Life-Threatening,37.78233759,-122.4138914
94115,3,Potentially Life-Threatening,37.78086621,-122.4288032
94103,2,Potentially Life-Threatening,37.77305345,-122.4186182
94102,3,Potentially Life-Threatening,37.78305497,-122.4115773
94109,3,Alarm,37.7903193,-122.4231629
94110,2,Non Life-threatening,37.76437321,-122.4174785
94105,3,Potentially Life-Threatening,37.78738198,-122.396478
94102,3,Potentially Life-Threatening,37.78808219,-122.4100569
94109,3,Potentially Life-Threatening,37.78775662,-122.4130557
94102,2,Potentially Life-Threatening,37.78144749,-122.4171456
94117,3,Fire,37.77025923,-122.4318323
94117,3,Potentially Life-Threatening,37.77842248,-122.4334073
94117,3,Fire,37.77025923,-122.4318323
94102,3,Potentially Life-Threatening,37.7815854,-122.4230902
94112,3,Potentially Life-Threatening,37.72378785,-122.4364493
94124,2,Non Life-threatening,37.73311384,-122.3944192
94107,2,Potentially Life-Threatening,37.78299265,-122.3905285
94103,3,Alarm,37.77991167,-122.4074744
94107,3,Alarm,37.77732776,-122.3930886
94103,3,Potentially Life-Threatening,37.78013037,-122.4098714
94102,2,Non Life-threatening,37.78176159,-122.4110582
94102,3,Alarm,37.7877641,-122.4099253
94133,3,Potentially Life-Threatening,37.80546355,-122.4144122
94103,3,Alarm,37.78420567,-122.4076127
94117,2,Non Life-threatening,37.77409268,-122.4410844
94103,3,Potentially Life-Threatening,37.77319006,-122.418237
94102,3,Potentially Life-Threatening,37.78160513,-122.4163363
94105,3,Potentially Life-Threatening,37.7894925,-122.3901509
94102,3,Potentially Life-Threatening,37.77782816,-122.4249247
94110,2,Non Life-threatening,37.74521892,-122.4174839
94107,2,Non Life-threatening,37.77762424,-122.3999811
94103,2,Non Life-threatening,37.76972086,-122.4179492
94103,3,Alarm,37.77991167,-122.4074744
94102,2,Non Life-threatening,37.78434554,-122.4077851
94109,3,Alarm,37.79860278,-122.4231486
94102,3,Potentially Life-Threatening,37.7806621,-122.4228979
94109,3,Potentially Life-Threatening,37.78611721,-122.4198542
94110,2,Non Life-threatening,37.75762172,-122.4188873
94102,2,Non Life-threatening,37.78429938,-122.4101413
94109,2,Non Life-threatening,37.78708179,-122.4258678
94105,3,Potentially Life-Threatening,37.7894925,-122.3901509
94109,2,Non Life-threatening,37.78611721,-122.4198542
94112,3,Potentially Life-Threatening,37.71347595,-122.4345411
94105,3,Potentially Life-Threatening,37.79184209,-122.3949402
94115,3,Potentially Life-Threatening,37.78153451,-122.4281353
94103,3,Alarm,37.77991167,-122.4074744
94103,3,Potentially Life-Threatening,37.77779031,-122.4128343
94110,2,Non Life-threatening,37.74521892,-122.4174839
94102,2,Non Life-threatening,37.78373004,-122.4137537
94110,3,Fire,37.76042745,-122.410962
94110,2,Non Life-threatening,37.76429934,-122.4185514
94102,3,Alarm,37.7841909,-122.4101195
94109,2,Non Life-threatening,37.79494605,-122.4291559
94107,3,Alarm,37.76182764,-122.3983307
94107,3,Alarm,37.76182764,-122.3983307
94103,3,Potentially Life-Threatening,37.78574399,-122.405831
94124,3,Potentially Life-Threatening,37.73295563,-122.3875908
94107,3,Non Life-threatening,37.75219765,-122.3974777
94115,2,Non Life-threatening,37.78300757,-122.4458585
94105,2,Potentially Life-Threatening,37.78600483,-122.3950773
94110,3,Alarm,37.75436288,-122.4232161
94103,2,Non Life-threatening,37.77409486,-122.4200014
94110,3,Fire,37.75124396,-122.4215853
94124,3,Potentially Life-Threatening,37.72930177,-122.3908768
94115,2,Non Life-threatening,37.78300757,-122.4458585
94105,3,Alarm,37.78935407,-122.4000324
94122,3,Potentially Life-Threatening,37.75828227,-122.4907982
94112,2,Non Life-threatening,37.70911386,-122.4318301
94110,3,Potentially Life-Threatening,37.76272932,-122.4229584
94107,3,Potentially Life-Threatening,37.75584156,-122.4017799
94102,3,Alarm,37.7825474,-122.4122479
94109,3,Alarm,37.78729529,-122.4158061
94109,3,Alarm,37.79860278,-122.4231486
94112,3,Alarm,37.72569336,-122.4522897
94102,2,Non Life-threatening,37.78383852,-122.4137755
94105,2,Non Life-threatening,37.78775592,-122.4009754
94103,3,Potentially Life-Threatening,37.78013037,-122.4098714
94110,3,Potentially Life-Threatening,37.73654494,-122.4223236
94109,2,Potentially Life-Threatening,37.79916843,-122.4174283
94110,2,Non Life-threatening,37.76429934,-122.4185514
94114,2,Potentially Life-Threatening,37.75995363,-122.4371836
94102,3,Potentially Life-Threatening,37.78071918,-122.4153156
94102,3,Potentially Life-Threatening,37.78434554,-122.4077851
94115,2,Non Life-threatening,37.780001,-122.4416585
94133,3,Alarm,37.80769049,-122.4123296
94110,2,Non Life-threatening,37.76437321,-122.4174785
94102,3,Potentially Life-Threatening,37.77883232,-122.4156425
94102,3,Alarm,37.78640961,-122.4080362
94102,2,Non Life-threatening,37.78191397,-122.4130322
94112,3,Potentially Life-Threatening,37.72378785,-122.4364493
94110,3,Alarm,37.75599844,-122.4094331
94133,3,Alarm,37.80711992,-122.4164279
94102,3,Alarm,37.7825474,-122.4122479
94110,3,Potentially Life-Threatening,37.7444275,-122.4086903
