call_type,latitude,longitude
Medical Incident,37.77444199,-122.5046792
Medical Incident,37.77409486,-122.4200014
Medical Incident,37.75521795,-122.4755404
Alarms,37.7903193,-122.4231629
Alarms,37.77732776,-122.3930886
Alarms,37.75689017,-122.4222293
Structure Fire,37.783359,-122.4166949
Traffic Collision,37.76924401,-122.4080072
Alarms,37.80711992,-122.4164279
Medical Incident,37.71214951,-122.4171412
Medical Incident,37.77883232,-122.4156425
Medical Incident,37.79709205,-122.3983331
Medical Incident,37.7560964,-122.4277834
Medical Incident,37.78079208,-122.4083857
Medical Incident,37.75223946,-122.4184453
Structure Fire,37.78521736,-122.4170696
Medical Incident,37.77952317,-122.4126393
Medical Incident,37.74817255,-122.458695
Medical Incident,37.77005466,-122.4461284
Structure Fire,37.783359,-122.4166949
Medical Incident,37.77779031,-122.4128343
Medical Incident,37.78066916,-122.401678
Medical Incident,37.77409268,-122.4410844
Medical Incident,37.8028277,-122.4130343
Medical Incident,37.78626844,-122.4129972
Medical Incident,37.77027309,-122.448605
Medical Incident,37.78191397,-122.4130322
Other,37.72229807,-122.4113031
Medical Incident,37.75962769,-122.415923
Medical Incident,37.78186545,-122.4142853
Medical Incident,37.77938258,-122.4184844
Medical Incident,37.79154569,-122.4200366
Structure Fire,37.77025923,-122.4318323
Medical Incident,37.77319006,-122.418237
Medical Incident,37.72094713,-122.4531654
Medical Incident,37.78497774,-122.4596976
Medical Incident,37.78894504,-122.4262523
Medical Incident,37.74226138,-122.4219647
Medical Incident,37.78574399,-122.405831
Medical Incident,37.78326039,-122.4183662
Medical Incident,37.76759524,-122.4311911
Medical Incident,37.79695516,-122.3989082
Traffic Collision,37.75414577,-122.4786157
Traffic Collision,37.77578731,-122.3933551
Gas Leak (Natural and LP Gases),37.77684957,-122.4213512
Alarms,37.78299265,-122.3905285
Medical Incident,37.76272932,-122.4229584
Medical Incident,37.78176091,-122.4151051
Traffic Collision,37.76495166,-122.4319376
Medical Incident,37.7854812,-122.4212035
Medical Incident,37.78356778,-122.4192734
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.76495166,-122.4319376
Medical Incident,37.75730761,-122.4066198
Alarms,37.75436288,-122.4232161
Medical Incident,37.79196281,-122.393243
Medical Incident,37.79057826,-122.4206874
Medical Incident,37.77762424,-122.3999811
Structure Fire,37.79860278,-122.4231486
Medical Incident,37.75210237,-122.440665
Medical Incident,37.78284503,-122.4132218
Medical Incident,37.78491618,-122.41195
Medical Incident,37.78233759,-122.4138914
Medical Incident,37.78086621,-122.4288032
Medical Incident,37.77305345,-122.4186182
Medical Incident,37.78305497,-122.4115773
Alarms,37.7903193,-122.4231629
Medical Incident,37.76437321,-122.4174785
Medical Incident,37.78738198,-122.396478
Medical Incident,37.78808219,-122.4100569
Medical Incident,37.78775662,-122.4130557
Medical Incident,37.79452665,-122.411364
Structure Fire,37.77428384,-122.4670881
Medical Incident,37.76799245,-122.3943915
Medical Incident,37.78144749,-122.4171456
Structure Fire,37.77025923,-122.4318323
Alarms,37.74691023,-122.4258238
Medical Incident,37.77842248,-122.4334073
Structure Fire,37.77025923,-122.4318323
Medical Incident,37.7815854,-122.4230902
Traffic Collision,37.72378785,-122.4364493
Medical Incident,37.73311384,-122.3944192
Medical Incident,37.78299265,-122.3905285
