final_priority,latitude,longitude
2,37.77444199,-122.5046792
2,37.77409486,-122.4200014
2,37.75521795,-122.4755404
3,37.7903193,-122.4231629
3,37.77732776,-122.3930886
3,37.75689017,-122.4222293
3,37.783359,-122.4166949
3,37.76924401,-122.4080072
3,37.80711992,-122.4164279
2,37.71214951,-122.4171412
2,37.77883232,-122.4156425
2,37.79709205,-122.3983331
3,37.7560964,-122.4277834
3,37.78079208,-122.4083857
3,37.75223946,-122.4184453
3,37.78521736,-122.4170696
3,37.77952317,-122.4126393
3,37.74817255,-122.458695
2,37.77005466,-122.4461284
3,37.783359,-122.4166949
3,37.77779031,-122.4128343
2,37.78066916,-122.401678
2,37.77409268,-122.4410844
3,37.8028277,-122.4130343
2,37.78626844,-122.4129972
3,37.77027309,-122.448605
2,37.78191397,-122.4130322
2,37.72229807,-122.4113031
2,37.75962769,-122.415923
3,37.78186545,-122.4142853
3,37.77938258,-122.4184844
3,37.79154569,-122.4200366
3,37.77025923,-122.4318323
3,37.77319006,-122.418237
3,37.72094713,-122.4531654
2,37.78497774,-122.4596976
2,37.78894504,-122.4262523
2,37.74226138,-122.4219647
3,37.78574399,-122.405831
3,37.78326039,-122.4183662
2,37.76759524,-122.4311911
3,37.79695516,-122.3989082
3,37.75414577,-122.4786157
2,37.77578731,-122.3933551
3,37.77684957,-122.4213512
3,37.78299265,-122.3905285
3,37.76272932,-122.4229584
2,37.78176091,-122.4151051
3,37.76495166,-122.4319376
3,37.7854812,-122.4212035
2,37.78356778,-122.4192734
3,37.79860278,-122.4231486
2,37.76495166,-122.4319376
2,37.75730761,-122.4066198
3,37.75436288,-122.4232161
2,37.79196281,-122.393243
2,37.79057826,-122.4206874
3,37.77762424,-122.3999811
3,37.79860278,-122.4231486
3,37.75210237,-122.440665
3,37.78284503,-122.4132218
2,37.78491618,-122.41195
3,37.78233759,-122.4138914
3,37.78086621,-122.4288032
2,37.77305345,-122.4186182
3,37.78305497,-122.4115773
3,37.7903193,-122.4231629
2,37.76437321,-122.4174785
3,37.78738198,-122.396478
3,37.78808219,-122.4100569
3,37.78775662,-122.4130557
3,37.79452665,-122.411364
3,37.77428384,-122.4670881
3,37.76799245,-122.3943915
2,37.78144749,-122.4171456
3,37.77025923,-122.4318323
3,37.74691023,-122.4258238
3,37.77842248,-122.4334073
3,37.77025923,-122.4318323
3,37.7815854,-122.4230902
3,37.72378785,-122.4364493
2,37.73311384,-122.3944192
2,37.78299265,-122.3905285
3,37.77991167,-122.4074744
3,37.77732776,-122.3930886
3,37.78013037,-122.4098714
3,37.78530744,-122.4742451
3,37.74691023,-122.4258238
3,37.7830194,-122.4638918
3,37.74817255,-122.458695
2,37.78176159,-122.4110582
3,37.7877641,-122.4099253
3,37.80546355,-122.4144122
3,37.78420567,-122.4076127
2,37.77409268,-122.4410844
3,37.77814783,-122.4862064
3,37.77319006,-122.418237
